ensembl	symbol	DM_48h_1	DM_48h_2	DM_48h_3	GiB_48h_1	GiB_48h_2	GiB_48h_3
ENSG00000101213	PTK6	1.71993518	3.026493008	3.267799123	6.384572623	1.884223718	1.08363706
ENSG00000101216	GMEB2	551.7221677	768.921316	720.4363273	698.9682304	733.4971457	574.7754091
ENSG00000101220	ADISSP	651.9390714	778.4943458	740.6071353	845.8418248	758.8361389	646.6828747
ENSG00000101222	SPEF1	1.735218948	0	4.929087474	0	2.125481542	2.885291315
ENSG00000101224	CDC25B	1267.760712	1495.259749	1536.412963	1482.226174	1609.131638	1480.966921
ENSG00000101230	ISM1	2.816576364	2.686445159	1.886762376	5.852130249	5.916235539	0.982186766
ENSG00000101236	RNF24	559.5179886	637.7057732	650.4701516	720.1845016	657.3140481	661.669697
ENSG00000101246	ARFRP1	665.561311	636.0469873	653.4815419	597.3986145	706.6932333	629.9639155
ENSG00000101247	NDUFAF5	201.3453294	159.2032258	138.8682504	161.975562	154.2064951	242.2495539
ENSG00000101255	TRIB3	796.6241588	1015.674643	953.1410269	971.1246624	947.7678109	868.4030075
ENSG00000101265	RASSF2	4201.107036	4343.26189	4351.268526	4280.734648	4200.715457	4163.244474
ENSG00000101266	CSNK2A1	6921.990842	3418.806333	3649.372703	3309.597534	3477.483579	7915.300092
ENSG00000101276	SLC52A3	1.886816744	0	0	1.04558781	0	0
ENSG00000101290	CDS2	2949.768538	2361.198632	2049.873929	2113.063283	2051.426569	2291.064563
ENSG00000101292	PROKR2	0	0	0	0	0	0
ENSG00000101294	HM13	3484.186979	3370.151307	3163.570068	3061.885489	2732.859684	3151.033429
ENSG00000101298	SNPH	239.4264219	400.9757117	363.0998591	291.6858453	319.9413363	214.4922771
ENSG00000101306	MYLK2	12.84505901	48.01729382	24.17924494	24.56005673	25.11259351	17.11284032
ENSG00000101307	SIRPB1	9.863743698	18.46033826	20.04367491	14.72696242	17.88897153	11.9355111
ENSG00000101310	SEC23B	1511.38092	1363.909075	1278.249457	1486.998092	1373.051904	1627.605923
ENSG00000101311	FERMT1	24.80597933	26.30830662	44.30256101	40.81390931	27.1069204	38.00035865
ENSG00000101323	HAO1	0	0	0	0.977239378	0	0
ENSG00000101331	CCM2L	235.4785337	339.9871676	411.7294745	327.1318664	337.439797	253.4076269
ENSG00000101333	PLCB4	169.7705277	163.0836627	157.8776286	184.2558964	113.0311577	124.8928259
ENSG00000101335	MYL9	633.8980521	610.8926906	630.6688122	654.2457373	709.6549256	794.3848502
ENSG00000101337	TM9SF4	2888.706887	3050.55695	3092.283785	3038.985076	3018.449362	3096.116326
ENSG00000101342	TLDC2	2.454168104	0.977969087	0	0.679727794	0	0
ENSG00000101343	CRNKL1	1349.825047	1171.130601	1223.800107	1226.634975	1249.583372	1287.788322
ENSG00000101346	POFUT1	2873.304034	2773.782951	2950.245342	2824.651443	2800.859304	2802.241682
ENSG00000101347	SAMHD1	708.8713174	845.9809715	1014.144061	1024.187759	1043.258136	858.2516053
ENSG00000101349	PAK5	0	0	0	0	1.941611142	0
ENSG00000101350	KIF3B	2405.635067	2390.664442	2441.99212	2452.002403	2386.40388	2509.130334
ENSG00000101353	MROH8	12.95547883	18.48254948	35.47625292	20.04747855	27.60732097	21.9324958
ENSG00000101361	NOP56	2676.252523	2348.679933	2419.169288	2674.363007	2646.927837	2589.972353
ENSG00000101363	MANBAL	847.3054226	908.5737691	864.9346839	918.176197	902.3016873	982.8137399
ENSG00000101365	IDH3B	1642.658452	1419.450062	1337.638037	1424.025442	1371.585093	1495.011647
ENSG00000101367	MAPRE1	8346.473774	6446.879808	6313.762017	6598.608166	6517.147005	8222.680499
ENSG00000101384	JAG1	2254.961073	2471.421252	2692.708618	2615.714889	2635.571262	2513.624855
ENSG00000101391	CDK5RAP1	478.1710869	485.0692365	439.1835085	487.874462	499.3926225	533.0668717
ENSG00000101400	SNTA1	76.54536475	100.350461	120.4744467	91.88794908	97.93193645	86.70593746
ENSG00000101407	TTI1	928.4888042	927.0888852	982.6347037	915.5942084	1004.013544	963.3230442
ENSG00000101412	E2F1	320.5921289	428.0205369	396.3843784	472.6221138	443.1559199	395.023557
ENSG00000101413	RPRD1B	885.3011275	867.819761	862.1602641	950.24439	957.5458365	1010.210016
ENSG00000101417	PXMP4	232.7692756	161.7214648	171.0070735	166.7036549	128.4515515	199.8693324
ENSG00000101421	CHMP4B	3301.817806	2923.46252	2869.579638	2758.841921	2738.470391	3200.977264
ENSG00000101438	SLC32A1	0.914360432	0	0.947278479	0	0.977376866	1.908392422
ENSG00000101439	CST3	1043.78854	1019.791279	1042.615768	1002.702528	983.4714627	1026.9272
ENSG00000101441	CST4	0	0	0.906639226	0	0	1.14764187
ENSG00000101442	ACTR5	229.8287076	273.9490831	283.639049	264.3587362	262.7249311	287.5881458
ENSG00000101444	AHCY	3780.699899	3698.873018	3586.997155	3697.52113	3669.05638	3984.457189
ENSG00000101445	PPP1R16B	7953.617717	8954.080108	8442.071711	8404.213935	8494.251981	8332.03997
ENSG00000101447	FAM83D	1005.85679	951.994425	915.481145	945.380123	961.2696827	979.5851252
ENSG00000101448	EPPIN	0	0	0.937759752	0	0	0
ENSG00000101452	DHX35	389.8013659	369.1304454	388.9300028	399.9744626	468.4604512	380.1964117
ENSG00000101457	DNTTIP1	497.5475304	477.7222756	459.7731731	408.1062855	484.9912045	445.5320395
ENSG00000101460	MAP1LC3A	131.3581241	160.554078	147.2518324	131.8557517	129.8250455	83.43975816
ENSG00000101464	PIGU	649.9462498	536.8394428	557.3380932	540.322555	525.8461811	542.6359489
ENSG00000101470	TNNC2	0.954016375	0.962932135	1.048044388	1.035821257	0.851358725	0
ENSG00000101473	ACOT8	141.6393915	138.014096	151.2391327	148.6452436	151.9560136	112.8807141
ENSG00000101474	APMAP	5207.882688	4547.559788	4615.591843	4380.501719	4462.061489	4980.810319
ENSG00000101493	ZNF516	735.1806811	885.8400268	1052.747115	831.7412575	925.885819	671.9522878
ENSG00000101542	CDH20	0	2.213982546	0	1.136071729	0	1.656461037
ENSG00000101544	ADNP2	1101.724318	1228.426732	1207.288513	1296.896568	1349.494531	1160.496384
ENSG00000101546	RBFA	353.2123453	373.3952062	316.1852541	303.4826158	315.1878247	450.6738308
ENSG00000101557	USP14	4585.327342	3255.212475	3692.944219	3740.554232	3737.242786	4880.163421
ENSG00000101558	VAPA	3319.509134	2079.754432	2128.238647	2164.21212	2085.598116	3049.875074
ENSG00000101574	METTL4	573.7919326	607.5380689	510.8228084	543.2613468	550.1198994	593.4967137
ENSG00000101577	LPIN2	1987.63049	1336.362473	1375.795525	1298.507148	1376.286646	2096.065797
ENSG00000101596	SMCHD1	2013.101061	2206.533805	2251.105198	2315.43383	2292.798389	1962.614661
ENSG00000101605	MYOM1	6.215684076	21.33991808	11.58693304	23.75180805	17.57812704	10.6672082
ENSG00000101608	MYL12A	27419.77912	14566.79706	15265.50805	15029.52057	15221.2716	25553.95247
ENSG00000101624	CEP76	252.3290734	244.7160086	246.6237858	252.6239503	251.3164363	242.7995011
ENSG00000101638	ST8SIA5	3.996051516	5.721064796	3.309830113	8.989869247	33.14272131	4.129989
ENSG00000101639	CEP192	1013.590069	1074.362834	1067.173766	1178.037177	1166.933129	1127.769821
ENSG00000101654	RNMT	2048.284951	1230.308633	1213.35077	1288.312024	1329.433485	2025.058278
ENSG00000101665	SMAD7	163.581813	156.4670788	251.6153281	250.2203243	279.5243349	156.1769907
ENSG00000101670	LIPG	2248.938658	1879.679184	1933.42249	2050.791855	2146.953888	2476.988637
ENSG00000101695	RNF125	297.2075116	375.1919922	362.1331681	317.9761729	307.3567655	295.3216253
