ensembl	symbol	A549-DMSO-A	A549-DMSO-B	A549-DMSO-C	A549-DMSO-D	A549-GiB-B	A549-GiB-C	A549-GiB-D
ENSG00000158747	NBL1	1363.92662857802	1476.25048447812	1500.36229203136	1618.87774182853	1385.61696352687	1448.42119191881	1373.12103868518
ENSG00000158748	HTR6	7.39007351863718	9.65114606828102	10.5811865793563	10.6508246089524	8.17532048330767	14.2332286913559	3.78280697865452
ENSG00000158764	ITLN2	1.68378934717352	0	0	0	1.04303571611549	2.96276158887326	0
ENSG00000158769	F11R	2842.0231870814	2732.82211964854	2997.53845664325	2813.95458368432	2679.55228326186	2720.60658933723	2689.27192728456
ENSG00000158773	USF1	984.395826802602	1046.84313950089	825.655457194226	938.595382536004	796.234384361384	872.207689550886	918.632112909157
ENSG00000158786	PLA2G2F	0	0	0	0	0	1.00914707435769	0
ENSG00000158792	SPATA2L	379.581731369738	400.563401565335	394.850282401429	376.85185945182	344.942731082391	422.364491489553	435.162676152528
ENSG00000158793	NIT1	1108.09403072899	1047.35510818207	1007.5750412334	1085.77576542484	997.959428451002	1019.40602050808	986.897925322598
ENSG00000158796	DEDD	1095.36895680354	1045.47649499612	1048.92920486707	1068.61709091802	907.166753474648	926.973285536833	1063.04592130114
ENSG00000158805	ZNF276	1092.97027904024	1103.44372472454	1110.43147041109	1092.26147062329	1015.4501261984	1066.46328207869	1140.1643005872
ENSG00000158806	NPM2	0.534305828270172	4.8920385014535	2.1016917537935	0	1.60863508633517	0	1.16758936505563
ENSG00000158813	EDA	64.2037524653887	25.9481785795824	29.0249537215306	33.2495282859475	30.1940988295367	17.767567949536	25.0634515142315
ENSG00000158815	FGF17	0.772099664113786	5.47005681343322	3.01132491946268	5.64224364277792	0.961072167724867	3.7194078383567	4.49105136460497
ENSG00000158825	CDA	376.256517973875	371.740059174315	377.656086984971	395.998795609162	323.143893285723	312.525522576277	312.225083153314
ENSG00000158828	PINK1	1496.6654509891	1501.40814186859	1567.75013776774	1507.95183377803	1331.88191031155	1422.6393150835	1430.29284516494
ENSG00000158850	B4GALT3	879.672661330884	927.219563002637	833.25569845037	944.732491374283	796.028574114099	983.229100538522	937.268315721925
ENSG00000158856	DMTN	4462.03732518207	4355.81685042516	4619.43065749332	4784.0305189557	4344.98612612628	4321.97720158598	4533.61003311774
ENSG00000158859	ADAMTS4	19.0062670375422	10.5734060184893	33.2607465967984	20.7288493333336	21.9219521302188	17.0860514421992	23.8086612208048
ENSG00000158863	FHIP2B	1711.28642688009	1627.5875902466	1734.10115724661	1801.74131929107	1714.36070279563	1457.26367163654	1491.74511562788
ENSG00000158864	NDUFS2	3863.70491020992	4007.65045037605	4021.617736266	4096.02947776987	4024.32350784183	4115.98630480905	4116.57725584857
ENSG00000158865	SLC5A11	63.5359000254816	101.965976555132	101.719416684979	79.0495040937092	92.1170376474861	98.6688690648982	112.100567624885
ENSG00000158869	FCER1G	1.70921608596071	0	0.808560636294528	0	0	0	2.50963816821007
ENSG00000158874	APOA2	0	0	7.85557564338435	0	1.15224814067939	13.0551240325187	2.4298614045852
ENSG00000158882	TOMM40L	367.659804854417	358.284964374094	375.970852985016	351.372322029608	279.203907798749	389.272870993327	357.021874192032
ENSG00000158887	MPZ	18.8919157343516	18.3268533039324	21.1718941185249	19.5130191697263	19.7621903790174	20.9931045670748	11.2389551056594
ENSG00000158901	WFDC8	0.840136298223927	3.89652514312116	3.29210024699095	6.8835487023449	3.14790400947065	4.9568003734921	1.24401870347328
ENSG00000158941	CCAR2	6191.39827404357	6597.0349536686	5649.6827044837	5363.91652195159	5565.68699141378	5313.54974618666	6210.31830023647
ENSG00000158955	WNT9B	10.0580180914978	12.585345650984	11.5466966921181	16.7757245444304	11.8459028230889	17.700769045779	19.6253632431637
ENSG00000158966	CACHD1	155.434050036047	143.869547532016	142.92086367782	106.675638032048	153.963053434961	157.036047012177	141.500825396755
ENSG00000158985	CDC42SE2	2744.27650945494	2616.48090246845	2837.4840576166	2739.70572757266	2846.091503646	2863.68271892432	2887.83229084401
ENSG00000158987	RAPGEF6	1102.62922194855	1132.50090586545	1159.97745633971	1021.08479873528	1105.59247893768	1148.35296295365	1112.03799027803
ENSG00000159023	EPB41	845.307296829491	725.923914493762	789.321098496734	765.509717354966	894.172813469145	781.954688318667	912.123745477429
ENSG00000159055	MIS18A	748.683308172464	762.476001699528	714.538365156943	779.106251808977	792.431678817244	776.512081166766	742.717194980964
ENSG00000159063	ALG8	2523.99481740392	2430.15598460256	2333.805815776	2531.4243144968	2431.63262236435	2496.16912114865	2492.39992336662
ENSG00000159069	FBXW5	2790.9798778766	2757.20680045486	2732.22419630981	2967.43031415542	2634.41879577855	2722.61396315971	2725.42316641101
ENSG00000159079	CFAP298	858.411482363609	893.47958595923	969.987140882835	924.986611375412	853.528609043841	932.396057934164	750.426986282502
ENSG00000159082	SYNJ1	380.318465109601	354.578587024543	361.702524236913	261.871981207662	330.697806359971	279.073551431177	354.228648936469
ENSG00000159086	PAXBP1	650.938944497858	676.162819933813	681.27495631529	617.998127532818	610.60947772055	674.647465930457	698.901939107946
ENSG00000159110	IFNAR2	1102.467845527	1072.22129500945	1095.30780030806	1153.10045749244	1111.04271876369	1046.43323956519	1073.89705353524
ENSG00000159111	MRPL10	2670.75628211371	2657.20795952569	2464.91017300911	2788.92069201569	2635.77125064389	2652.86727382452	2648.90425400054
ENSG00000159128	IFNGR2	1391.7638506772	1430.48125978296	1370.35046666109	1511.40036998992	1458.31142962234	1495.48491677177	1442.30514550846
ENSG00000159131	GART	3967.19579035309	3802.43831909357	3904.86294079044	3705.25928188188	3987.72530959627	4046.96930318869	4173.11419067018
ENSG00000159140	SON	8597.00438421275	9096.42496691789	9344.27762928054	9004.98450678972	8699.66015955138	8767.52159967368	8681.42618080088
ENSG00000159147	DONSON	655.956308904826	604.974301599836	623.591770819061	701.592196176525	560.126691750027	691.102980742648	628.236796648069
ENSG00000159164	SV2A	0.789196453491074	3.64419128737743	6.33960390443971	4.40086214432879	7.53455609364506	10.5982955668034	3.07645674819161
ENSG00000159166	LAD1	55.1734105655939	70.6372035286028	68.5876372294857	47.1026185997319	52.3520032664181	75.1779605437019	45.0374898738073
ENSG00000159167	STC1	382.166208051222	392.954670830706	523.588351629185	519.036543765165	387.939269941376	430.375998453311	450.235319777963
ENSG00000159173	TNNI1	5.79251641357445	5.77970093578196	3.32275271862575	4.5964794549927	7.30327383611823	9.02745803660862	1.25582977032165
ENSG00000159176	CSRP1	6870.92467397846	7139.54647275506	7289.40358488209	7289.45083736364	7109.8308227958	7173.64079124204	6863.40232843323
ENSG00000159182	PRAC1	0	0	0	0	0	0	1.25548357502793
ENSG00000159184	HOXB13	452.389929884148	408.52517039738	475.603100956662	474.048958568628	429.730281426686	422.730302898438	483.596956657164
ENSG00000159197	KCNE2	0	1.9681840121055	1.61964766308681	0	0	0	0
ENSG00000159199	ATP5MC1	4206.84176046252	4240.06407713311	3637.96370537255	4117.12158157539	4229.21471657438	3996.81950870266	4212.3282218009
ENSG00000159200	RCAN1	485.766216385469	476.707776916865	458.672496572386	410.757729633881	433.117917859975	446.474042468942	405.786172000462
ENSG00000159202	UBE2Z	6546.19858694588	6657.74898409227	6919.33500123412	6606.52393472613	6610.50778194355	6687.54447729037	6592.52474213923
ENSG00000159208	CIART	10.5083815753011	19.790764454728	9.5316365228179	11.6267777955144	8.61849511295716	15.0993554423289	25.4423782543097
ENSG00000159210	SNF8	2870.27645086278	2789.95661689958	2530.18192827208	2949.20307366036	2839.13579710297	2813.73318405518	2706.95422488182
ENSG00000159212	CLIC6	2.99021172226633	3.37262766891529	5.95028127832457	1.24033399753065	4.2794419441421	3.24347101932179	3.90280524961028
ENSG00000159214	CCDC24	108.329433338417	87.8738737471604	78.8158181108462	99.2478496429244	85.308973818086	104.904438070831	104.576873748478
ENSG00000159216	RUNX1	650.539035046364	661.837687743439	669.864472505517	731.75863039254	685.060125930693	635.51900323029	740.235514910213
ENSG00000159217	IGF2BP1	6398.3987987202	6582.42992926718	7258.64383818392	6210.30421528052	6513.02641018368	6709.83549609533	6762.47207026849
ENSG00000159224	GIP	43.1109183373638	55.66240276	54.4854116254806	51.8181622861636	36.7020238017139	39.5145301378874	38.401754244954
ENSG00000159228	CBR1	4467.64019875366	4405.22585548379	4442.26024471559	4478.52563674184	4429.15835304739	4447.82957884544	4334.75735702816
ENSG00000159231	CBR3	267.202884920413	276.743643490098	253.149059705644	248.359168197102	262.653780652945	253.16335098426	256.20573017901
ENSG00000159251	ACTC1	0	0.952174512145525	0	0	0	0	0
ENSG00000159256	MORC3	631.558057509919	632.16956773481	633.441326430096	601.810414726874	589.298153599407	583.352154425586	622.686490227068
ENSG00000159259	CHAF1B	1205.57359514363	1211.30246013189	1301.76123677352	1314.82709273983	1386.60675264953	1344.69523314422	1411.16693551334
ENSG00000159261	CLDN14	2.55332500258098	0	2.49381362098661	2.36581873125315	5.29680081584193	2.83055096120078	0
ENSG00000159263	SIM2	694.98817712852	721.330727077206	504.150083448681	554.926012425064	614.465374815411	591.953495999101	532.724043030553
ENSG00000159267	HLCS	1146.12017304144	1129.13376414728	1087.46847007408	949.512499536289	982.530657847542	1307.78903363252	1011.97286918561
ENSG00000159289	GOLGA6A	3.32869014199815	0	0	0	0	2.00129461882582	0
ENSG00000159307	SCUBE1	40.2914368085878	30.8813870520801	47.565980940111	41.5937929000688	35.3238825129174	35.2298380546758	31.2461684963392
ENSG00000159314	ARHGAP27	656.388611044084	636.17100246915	617.712932946244	549.795866657902	672.088878910742	664.153540411644	567.313831939913
ENSG00000159322	ADPGK	2828.75028858157	2833.20124110416	2843.35998186504	2854.21577565071	2982.68160607612	2944.76154045599	3069.57542059174
ENSG00000159335	PTMS	27681.4115005036	26824.0096478846	28359.0741214919	31316.3652050679	28027.5697584263	29500.2107816987	26736.3290986014
ENSG00000159337	PLA2G4D	0	0	0	1.15247181988925	0	0	0
ENSG00000159339	PADI4	4.41913991016066	0.330838514860855	1.36629775870108	3.96753761631791	0	3.40061320259677	0.427529221654418
ENSG00000159346	ADIPOR1	3053.58003402761	2937.26580841543	2883.27455457595	3105.08439223632	3063.83968558135	3038.78484380931	3038.37601765387
ENSG00000159348	CYB5R1	792.134730820929	758.232628700367	753.693048352968	752.957344344171	761.904296216003	767.245199388513	684.353323333994
