ensembl	symbol	A549-DMSO-A	A549-DMSO-B	A549-DMSO-C	A549-DMSO-D	A549-GiB-B	A549-GiB-C	A549-GiB-D
ENSG00000178187	ZNF454	7	11	13	5	8	8	6
ENSG00000178188	SH2B1	2616	2360	2581	1851	2073	2016	1696
ENSG00000178199	ZC3H12D	70	46	64	47	30	39	30
ENSG00000178201	VN1R1	9	6	5	1	5	4	1
ENSG00000178202	POGLUT3	1173	1053	1211	814	1053	1011	824
ENSG00000178209	PLEC	45016	41260	48840	32629	37946	34662	29130
ENSG00000178217	SH2D4B	2	2	1	2	0	3	5
ENSG00000178222	RNF212	133	120	124	95	104	127	88
ENSG00000178226	PRSS36	2	0	0	13	7	9	0
ENSG00000178229	ZNF543	221	181	211	122	157	155	130
ENSG00000178233	TMEM151B	3	12	9	4	2	4	3
ENSG00000178234	GALNT11	1650	1575	1775	1233	1278	1409	1154
ENSG00000178235	SLITRK1	1	0	0	2	0	0	0
ENSG00000178252	WDR6	5138	4610	5611	3806	4346	4409	3470
ENSG00000178279	TNP2	0	1	0	0	0	0	0
ENSG00000178295	GEN1	2265	2087	2365	1566	1958	2014	1544
ENSG00000178297	TMPRSS9	9	17	9	14	6	12	15
ENSG00000178301	AQP11	153	149	160	106	117	117	73
ENSG00000178307	TMEM11	1122	980	971	801	834	853	738
ENSG00000178338	ZNF354B	376	292	337	189	250	261	205
ENSG00000178342	KCNG2	0	0	0	0	1	0	0
ENSG00000178343	SHISA3	4	1	2	3	4	3	1
ENSG00000178358	OR2D3	1	1	0	0	0	0	0
ENSG00000178363	CALML3	1	0	0	3	0	0	0
ENSG00000178372	CALML5	1	0	1	0	0	0	0
ENSG00000178381	ZFAND2A	631	554	663	493	511	557	487
ENSG00000178385	PLEKHM3	520	459	535	340	420	424	337
ENSG00000178386	ZNF223	114	129	136	101	103	114	82
ENSG00000178395	CCDC185	1	2	3	1	2	2	4
ENSG00000178397	FAM220A	3	0	3	4	1	3	0
ENSG00000178401	DNAJC22	1091	827	1042	764	801	801	640
ENSG00000178403	NEUROG2	0	0	1	0	0	0	0
ENSG00000178404	CEP295NL	1	5	4	2	6	0	2
ENSG00000178409	BEND3	448	386	397	281	373	313	306
ENSG00000178425	NT5DC1	1574	1359	1522	1192	1290	1337	1174
ENSG00000178445	GLDC	1027	950	1015	683	786	772	619
ENSG00000178449	COX14	1041	919	1221	842	903	996	780
ENSG00000178460	MCMDC2	27	28	36	27	28	10	22
ENSG00000178462	TUBAL3	40	39	47	29	31	41	30
ENSG00000178467	P4HTM	821	739	937	650	654	725	576
ENSG00000178473	UCN3	1	1	3	1	0	0	0
ENSG00000178498	DTX3	1077	922	1081	746	790	829	698
ENSG00000178502	KLHL11	448	447	626	297	424	475	387
ENSG00000178531	CTXN1	506	420	581	431	411	418	337
ENSG00000178537	SLC25A20	467	465	499	374	394	430	314
ENSG00000178538	CA8	273	224	254	171	197	238	168
ENSG00000178562	CD28	0	1	0	0	0	0	0
ENSG00000178567	EPM2AIP1	1686	1545	1724	1193	1447	1445	1177
ENSG00000178568	ERBB4	1	0	0	1	0	2	0
ENSG00000178573	MAF	19	25	26	24	17	15	16
ENSG00000178585	CTNNBIP1	495	402	563	372	430	412	359
ENSG00000178597	PSAPL1	15	14	16	19	20	18	19
ENSG00000178605	GTPBP6	1959	1837	2151	1506	1699	1623	1334
ENSG00000178607	ERN1	1238	1042	1250	811	926	980	809
ENSG00000178623	GPR35	116	133	107	91	67	86	61
ENSG00000178662	CSRNP3	4	4	16	7	2	8	8
ENSG00000178665	ZNF713	88	81	92	79	61	91	53
ENSG00000178685	PARP10	92	93	112	79	99	82	96
ENSG00000178690	DYNAP	4	3	7	3	2	1	4
ENSG00000178691	SUZ12	4687	4191	5104	3381	3999	4056	3382
ENSG00000178694	NSUN3	677	574	667	469	534	579	477
ENSG00000178695	KCTD12	154	121	204	102	142	132	116
ENSG00000178700	DHFR2	701	604	705	471	580	578	487
ENSG00000178718	RPP25	2081	1748	1981	1469	1663	1835	1455
ENSG00000178719	GRINA	5861	4699	5690	4253	4656	4955	4012
ENSG00000178726	THBD	2064	1810	2240	1466	1626	1709	1351
ENSG00000178732	GP5	0	0	0	0	3	0	1
ENSG00000178741	COX5A	6249	5204	5424	4466	4662	5254	4344
ENSG00000178750	STX19	4	2	0	2	2	2	1
ENSG00000178752	ERFE	155	120	124	84	101	103	83
ENSG00000178761	FAM219B	1012	1009	985	741	688	838	639
ENSG00000178764	ZHX2	568	453	507	387	429	486	340
ENSG00000178772	CPN2	2	1	2	0	0	0	0
ENSG00000178773	CPNE7	1538	1361	1664	1142	1251	1279	987
ENSG00000178795	GDPD4	0	0	0	2	1	1	1
ENSG00000178796	RIIAD1	1	2	0	0	0	0	1
ENSG00000178802	MPI	1822	1464	1614	1277	1349	1360	1077
ENSG00000178809	TRIM73	62	71	52	61	56	78	46
ENSG00000178814	OPLAH	592	585	615	396	448	536	404
ENSG00000178821	TMEM52	10	8	15	6	1	9	8
ENSG00000178826	TMEM139	2	17	17	22	24	44	6
ENSG00000178852	EFCAB13	108	107	103	83	72	73	67
ENSG00000178860	MSC	938	842	1005	733	814	750	628
ENSG00000178878	APOLD1	60	50	58	39	55	43	32
ENSG00000178882	RFLNA	1	1	3	2	0	1	3
ENSG00000178896	EXOSC4	1564	1411	1401	1083	1219	1190	996
ENSG00000178904	DPY19L3	1512	1467	1622	925	1275	1308	1097
ENSG00000178913	TAF7	3753	3454	3966	2764	3105	3103	2440
ENSG00000178917	ZNF852	37	34	43	18	27	36	24
ENSG00000178919	FOXE1	447	359	436	290	353	325	291
ENSG00000178921	PFAS	5643	4954	5979	3884	4802	4650	3979
ENSG00000178922	HYI	145	156	202	135	154	140	108
ENSG00000178927	CYBC1	1820	1454	2034	1555	1534	1515	1265
ENSG00000178928	TPRX1	0	1	1	0	0	0	0
ENSG00000178934	LGALS7B	1	0	2	0	2	1	2
ENSG00000178935	ZNF552	311	224	278	223	208	231	193
ENSG00000178947	SMIM10L2A	39	37	31	27	32	33	22
ENSG00000178950	GAK	2884	2485	2978	2028	2272	2303	1953
ENSG00000178951	ZBTB7A	3818	3093	3720	2784	2976	3130	2461
ENSG00000178952	TUFM	11442	9925	11918	8775	9524	10049	7838
ENSG00000178966	RMI1	1169	1076	1292	840	1068	1003	853
ENSG00000178971	CTC1	1061	947	1114	792	915	958	824
ENSG00000178974	FBXO34	1341	1156	1351	878	1008	1143	817
ENSG00000178980	SELENOW	1081	956	981	874	866	954	695
ENSG00000178982	EIF3K	9348	7921	9844	7327	8169	8795	6708
ENSG00000178988	MRFAP1L1	1799	1471	1843	1370	1495	1670	1180
ENSG00000178996	SNX18	854	787	967	625	745	772	632
ENSG00000178997	EXD1	2	4	10	5	2	2	2
ENSG00000178999	AURKB	3396	2954	3233	2464	2563	2643	2128
ENSG00000179002	TAS1R2	0	0	1	0	0	0	0
ENSG00000179010	MRFAP1	12113	11056	13022	9271	10329	10755	8763
