ensembl	symbol	A375MA2-DMSO-A	A375MA2-DMSO-B	A375MA2-DMSO-C	A375MA2-DMSO-D	A375MA2-GiB-A	A375MA2-GiB-B	A375MA2-GiB-D
ENSG00000146426	TIAM2	518	832	420	454	553	486	695
ENSG00000146433	TMEM181	2969	4596	2568	2556	3070	2875	3467
ENSG00000146453	PNLDC1	0	0	3	0	0	0	2
ENSG00000146457	WTAP	1273	2223	1324	1343	2137	1983	2701
ENSG00000146463	ZMYM4	1775	2772	1621	1749	2083	2033	2462
ENSG00000146469	VIP	0	1	0	0	0	0	0
ENSG00000146476	ARMT1	619	1020	635	588	858	800	978
ENSG00000146530	VWDE	6	0	6	1	0	0	9
ENSG00000146535	GNA12	1132	2129	1166	1472	1512	1244	1645
ENSG00000146540	C7orf50	1203	2243	1298	1319	2281	1784	2958
ENSG00000146555	SDK1	84	167	104	95	134	113	142
ENSG00000146574	CCZ1B	2132	3607	2309	2205	2771	2609	3338
ENSG00000146576	INTS15	769	1217	855	789	901	848	1046
ENSG00000146587	RBAK	903	1455	791	804	1066	980	1268
ENSG00000146592	CREB5	361	575	310	347	450	396	540
ENSG00000146648	EGFR	299	405	225	262	294	314	374
ENSG00000146670	CDCA5	1634	2674	1767	1779	2850	2789	3678
ENSG00000146674	IGFBP3	4321	7273	3977	4076	4698	4641	5031
ENSG00000146676	PURB	3516	5388	3187	3338	4379	3460	5087
ENSG00000146678	IGFBP1	0	0	0	0	1	0	0
ENSG00000146700	SSC4D	1	8	8	4	14	8	7
ENSG00000146701	MDH2	8961	15551	9655	9505	12108	12246	14728
ENSG00000146707	POMZP3	399	675	513	471	466	486	572
ENSG00000146729	NIPSNAP2	1751	2905	1651	1707	2154	2148	2530
ENSG00000146731	CCT6A	11272	18745	11796	11232	17117	16226	21046
ENSG00000146733	PSPH	661	1162	701	758	1326	1264	1534
ENSG00000146755	TRIM50	0	2	0	0	0	2	0
ENSG00000146757	ZNF92	587	959	516	482	634	682	847
ENSG00000146776	ATXN7L1	245	384	200	233	299	275	372
ENSG00000146802	TMEM168	714	1132	627	623	906	783	997
ENSG00000146826	TRAPPC14	485	832	466	421	603	515	726
ENSG00000146828	SLC12A9	478	927	581	569	809	589	892
ENSG00000146830	GIGYF1	2788	4343	2559	2619	3247	2671	3914
ENSG00000146833	TRIM4	1383	2276	1266	1270	1571	1468	1515
ENSG00000146834	MEPCE	1667	2929	1810	1799	2187	1821	2706
ENSG00000146839	ZAN	0	0	0	0	1	0	0
ENSG00000146842	TMEM209	1201	1984	1161	1249	2085	2001	2366
ENSG00000146856	AGBL3	17	24	14	13	17	10	17
ENSG00000146858	ZC3HAV1L	85	100	61	78	100	107	123
ENSG00000146859	TMEM140	351	524	329	325	355	343	449
ENSG00000146872	TLK2	1736	2727	1587	1745	1957	1909	2470
ENSG00000146904	EPHA1	0	1	0	0	0	0	0
ENSG00000146909	NOM1	1451	2475	1537	1578	2147	1870	2522
ENSG00000146918	NCAPG2	2432	4145	2500	2662	3609	3563	4453
ENSG00000146938	NLGN4X	1854	3206	1937	1946	2462	2542	3093
ENSG00000146950	SHROOM2	1446	2363	1492	1566	1946	1881	2755
ENSG00000146955	RAB19	0	1	0	0	0	0	0
ENSG00000146963	LUC7L2	3113	5025	3093	3273	5002	4742	6153
ENSG00000146966	DENND2A	99	141	83	90	102	102	94
ENSG00000147003	CLTRN	5	6	8	7	5	1	3
ENSG00000147010	SH3KBP1	3479	5854	3614	3619	4628	4637	5387
ENSG00000147027	TMEM47	1012	1782	1034	1004	1350	1362	1674
ENSG00000147036	LANCL3	14	50	22	29	52	29	52
ENSG00000147041	SYTL5	14167	23068	12317	12709	14097	13802	15354
ENSG00000147044	CASK	425	589	416	361	471	401	516
ENSG00000147050	KDM6A	377	439	279	378	487	449	427
ENSG00000147059	SPIN2A	71	89	39	47	60	38	70
ENSG00000147065	MSN	7672	12955	8300	8401	11911	11941	15210
ENSG00000147081	AKAP4	0	0	0	0	0	0	1
ENSG00000147082	CCNB3	10	33	29	11	33	13	28
ENSG00000147099	HDAC8	749	1302	698	711	809	964	1199
ENSG00000147100	SLC16A2	24	38	22	15	19	0	33
ENSG00000147113	DIPK2B	5	0	4	0	9	6	2
ENSG00000147117	ZNF157	25	32	34	19	20	24	28
ENSG00000147118	ZNF182	296	449	230	264	312	277	390
ENSG00000147119	CHST7	150	235	154	158	223	214	310
ENSG00000147121	KRBOX4	281	441	260	297	358	333	434
ENSG00000147123	NDUFB11	1892	3350	2044	1948	2595	2752	3213
ENSG00000147124	ZNF41	341	605	316	357	456	481	635
ENSG00000147127	RAB41	0	0	0	0	0	0	1
ENSG00000147130	ZMYM3	1551	2581	1477	1564	1801	1786	2223
ENSG00000147133	TAF1	1851	2740	1463	1636	1776	1862	2191
ENSG00000147138	GPR174	0	0	0	0	2	0	0
ENSG00000147140	NONO	12844	21379	12965	13004	19501	18800	23976
ENSG00000147144	CCDC120	68	142	73	77	97	96	105
ENSG00000147145	LPAR4	67	135	74	76	69	55	71
ENSG00000147155	EBP	844	1546	1015	1117	1802	1538	2040
ENSG00000147162	OGT	2764	4354	2310	2668	3020	2999	3739
ENSG00000147164	SNX12	1723	2965	1808	1782	2207	2210	2644
ENSG00000147166	ITGB1BP2	12	26	10	13	26	26	31
ENSG00000147168	IL2RG	4	5	2	1	7	5	2
ENSG00000147174	GCNA	31	41	34	26	43	32	37
ENSG00000147180	ZNF711	0	0	1	0	0	0	0
ENSG00000147202	DIAPH2	1098	1876	968	1091	1122	1019	1133
ENSG00000147223	RIPPLY1	0	0	0	0	0	1	0
ENSG00000147224	PRPS1	1487	2586	1691	1661	1961	1966	2566
ENSG00000147231	RADX	216	421	219	220	385	388	482
ENSG00000147234	FRMPD3	0	0	0	0	1	0	0
ENSG00000147246	HTR2C	1	0	0	0	3	0	0
ENSG00000147251	DOCK11	875	1405	740	837	757	788	836
ENSG00000147255	IGSF1	1	1	0	2	0	3	0
ENSG00000147262	GPR119	2	2	0	0	1	0	1
ENSG00000147274	RBMX	5801	9742	5496	5661	7269	7339	8988
ENSG00000147316	MCPH1	452	914	472	455	660	580	863
ENSG00000147324	MFHAS1	673	1176	620	688	883	809	970
ENSG00000147364	FBXO25	523	867	477	490	585	585	615
ENSG00000147378	FATE1	0	0	0	0	1	0	0
ENSG00000147381	MAGEA4	12594	22101	14458	13627	21791	20569	26920
