ensembl	symbol	IPC-DMSO-A	IPC-DMSO-B	IPC-DMSO-C	IPC-DMSO-D	IPC-GiB-A	IPC-GiB-B	IPC-GiB-C
ENSG00000165152	PGAP4	976	1245	703	1162	768	777	797
ENSG00000165156	ZHX1	2075	2944	1786	2517	1646	1733	1966
ENSG00000165168	CYBB	4	0	6	0	0	4	0
ENSG00000165169	DYNLT3	3906	4958	3124	4435	2853	3111	3070
ENSG00000165171	METTL27	22	22	19	25	12	14	13
ENSG00000165175	MID1IP1	2954	4077	2399	3350	2298	2438	2767
ENSG00000165181	SHOC1	0	4	3	6	0	3	3
ENSG00000165182	CXorf58	3	6	1	1	1	0	0
ENSG00000165185	KIAA1958	139	196	137	188	144	131	120
ENSG00000165186	PTCHD1	0	2	2	4	1	0	1
ENSG00000165188	RNF183	1	0	1	1	0	1	0
ENSG00000165192	ASB11	47	62	42	54	32	49	40
ENSG00000165194	PCDH19	1	1	1	0	1	0	0
ENSG00000165195	PIGA	958	1418	818	1250	890	1001	883
ENSG00000165197	VEGFD	8	7	4	12	11	13	7
ENSG00000165209	STRBP	912	1161	688	993	694	716	718
ENSG00000165215	CLDN3	4	4	3	3	2	1	0
ENSG00000165219	GAPVD1	2341	3285	1973	2864	2002	2187	2307
ENSG00000165233	CARD19	1307	1750	1000	1395	893	978	1133
ENSG00000165238	WNK2	230	296	171	316	196	177	176
ENSG00000165240	ATP7A	1739	2414	1440	2101	1501	1534	1544
ENSG00000165244	ZNF367	1808	2316	1417	2021	1290	1481	1496
ENSG00000165259	HDX	87	130	82	127	72	86	80
ENSG00000165264	NDUFB6	1741	1999	1241	1698	1106	1242	1436
ENSG00000165269	AQP7	0	3	0	0	2	2	1
ENSG00000165271	NOL6	4482	5980	3420	4973	3296	3567	3911
ENSG00000165272	AQP3	16	32	15	17	7	21	19
ENSG00000165275	TRMT10B	303	435	291	368	293	286	334
ENSG00000165280	VCP	16849	23081	13212	19136	13240	14633	15347
ENSG00000165282	PIGO	565	685	564	631	455	440	518
ENSG00000165283	STOML2	4312	6036	3544	4864	3119	3652	4156
ENSG00000165288	BRWD3	1143	1657	1066	1408	1069	1070	999
ENSG00000165300	SLITRK5	385	503	325	440	317	319	295
ENSG00000165304	MELK	3560	4678	2865	3945	2740	2844	3126
ENSG00000165309	ARMC3	0	0	1	0	0	0	0
ENSG00000165312	OTUD1	231	326	206	262	200	201	202
ENSG00000165322	ARHGAP12	1517	2327	1257	1841	1264	1404	1447
ENSG00000165323	FAT3	12	14	5	15	9	9	7
ENSG00000165338	HECTD2	359	492	291	415	252	250	282
ENSG00000165349	SLC7A3	0	1	3	0	0	0	1
ENSG00000165355	FBXO33	919	1185	738	985	701	797	780
ENSG00000165359	INTS6L	285	281	152	245	185	208	172
ENSG00000165376	CLDN2	1	1	0	0	0	1	1
ENSG00000165379	LRFN5	0	0	1	0	0	1	0
ENSG00000165389	SPTSSA	2318	3420	1923	2559	1697	1824	2173
ENSG00000165392	WRN	443	503	326	519	313	417	329
ENSG00000165406	MARCHF8	799	1136	643	977	663	668	768
ENSG00000165409	TSHR	15	17	18	15	16	6	13
ENSG00000165410	CFL2	2496	3299	1928	2881	2037	2094	2242
ENSG00000165416	SUGT1	1857	2473	1373	1965	1365	1427	1661
ENSG00000165417	GTF2A1	1992	2891	1643	2341	1683	1773	1912
ENSG00000165424	ZCCHC24	3145	4199	2591	3716	2188	2517	2431
ENSG00000165434	PGM2L1	649	869	561	788	501	611	568
ENSG00000165443	PHYHIPL	0	1	0	0	0	0	0
ENSG00000165457	FOLR2	0	0	1	0	0	0	0
ENSG00000165458	INPPL1	6153	8126	4762	6979	4518	5017	5147
ENSG00000165471	MBL2	1	0	0	0	0	1	0
ENSG00000165474	GJB2	28	50	40	51	29	34	22
ENSG00000165475	CRYL1	873	1177	700	1035	623	662	734
ENSG00000165476	REEP3	2987	3955	2403	3423	2172	2327	2393
ENSG00000165480	SKA3	1248	1644	962	1353	981	1077	1125
ENSG00000165487	MICU2	1399	2000	1143	1516	996	1183	1278
ENSG00000165490	DDIAS	1141	1543	920	1264	893	932	959
ENSG00000165494	PCF11	1521	2194	1173	1795	1259	1294	1460
ENSG00000165495	PKNOX2	1408	1872	1072	1605	1028	1069	1088
ENSG00000165501	LRR1	825	1094	568	887	632	614	733
ENSG00000165502	RPL36AL	4066	4910	2897	4083	2798	3241	3893
ENSG00000165506	DNAAF2	484	670	357	518	380	411	429
ENSG00000165507	DEPP1	15	20	8	13	10	12	4
ENSG00000165512	ZNF22	311	448	253	376	260	312	330
ENSG00000165516	KLHDC2	438	632	324	488	356	340	474
ENSG00000165521	EML5	4	3	4	4	1	1	3
ENSG00000165525	NEMF	1789	2508	1547	2086	1484	1530	1710
ENSG00000165526	RPUSD4	1132	1484	893	1245	808	841	893
ENSG00000165527	ARF6	6452	8500	5071	6948	4663	5143	5653
ENSG00000165533	TTC8	368	550	305	455	316	321	349
ENSG00000165548	TMEM63C	9	0	0	0	0	1	0
ENSG00000165555	NOXRED1	5	6	10	8	6	2	11
ENSG00000165566	AMER2	6	9	2	2	3	2	1
ENSG00000165568	AKR1E2	131	281	137	194	138	113	165
ENSG00000165572	KBTBD6	882	1232	722	989	781	776	869
ENSG00000165591	FAAH2	0	0	0	0	1	1	0
ENSG00000165609	NUDT5	2490	3290	2012	2713	1821	2018	2211
ENSG00000165617	DACT1	134	162	90	136	90	100	119
ENSG00000165621	OXGR1	1	3	1	3	2	2	2
ENSG00000165626	BEND7	433	544	364	470	260	366	359
ENSG00000165629	ATP5F1C	8054	10956	6448	8788	5679	6140	6698
ENSG00000165630	PRPF18	1109	1405	835	1146	783	801	863
ENSG00000165632	TAF3	1120	1389	916	1295	842	993	1050
ENSG00000165633	VSTM4	58	63	48	54	45	27	56
ENSG00000165637	VDAC2	11725	15102	9019	12843	8402	9244	10089
ENSG00000165643	SOHLH1	1	0	0	0	0	0	0
ENSG00000165644	COMTD1	478	608	405	539	380	428	344
ENSG00000165646	SLC18A2	0	1	0	0	1	1	3
ENSG00000165650	PDZD8	2024	2696	1535	2274	1620	1705	1830
ENSG00000165655	ZNF503	4427	6012	3217	4606	3380	3690	3975
ENSG00000165660	ABRAXAS2	1088	1475	906	1287	864	999	989
ENSG00000165661	QSOX2	1611	2106	1272	1847	1240	1340	1423
ENSG00000165669	FAM204A	1145	1397	915	1255	872	919	932
ENSG00000165671	NSD1	2164	3145	1813	2526	1885	2083	2111
ENSG00000165672	PRDX3	7370	10209	5921	8114	5338	6000	6585
ENSG00000165675	ENOX2	738	1032	577	868	570	674	711
ENSG00000165678	GHITM	9139	12552	7252	10217	6751	7345	8117
ENSG00000165684	SNAPC4	1115	1426	795	1216	821	916	1005
ENSG00000165688	PMPCA	2420	3156	1898	2631	1888	2067	2346
ENSG00000165689	ENTR1	1478	2004	1127	1649	1063	1196	1351
ENSG00000165695	AK8	0	1	4	6	1	0	0
ENSG00000165698	SPACA9	114	148	89	149	96	102	79
ENSG00000165699	TSC1	894	1358	758	1198	720	987	928
ENSG00000165704	HPRT1	2085	2752	1713	2332	1644	1765	1845
ENSG00000165714	BORCS5	611	782	426	700	457	501	516
ENSG00000165716	DIPK1B	483	641	440	583	379	368	412
ENSG00000165724	ZMYND19	1163	1561	915	1280	835	975	1115
ENSG00000165730	STOX1	25	34	19	31	29	32	30
ENSG00000165731	RET	0	0	0	0	4	0	1
ENSG00000165732	DDX21	12057	16279	9660	13419	9959	10760	11695
ENSG00000165733	BMS1	2517	3232	2036	2807	1812	2168	2277
ENSG00000165752	STK32C	354	531	305	403	269	304	330
ENSG00000165757	JCAD	0	1	1	0	1	0	0
ENSG00000165775	FUNDC2	715	1175	603	826	539	575	728
ENSG00000165782	PIP4P1	1479	2093	1188	1810	1026	1189	1419
ENSG00000165792	METTL17	1153	1362	792	1026	636	820	1012
ENSG00000165794	SLC39A2	0	2	0	0	0	0	0
ENSG00000165795	NDRG2	532	806	430	618	427	484	511
ENSG00000165799	RNASE7	0	3	0	0	0	0	0
ENSG00000165801	ARHGEF40	1076	1404	683	1162	719	865	787
ENSG00000165802	NSMF	2337	3070	1758	2669	1741	1778	1906
ENSG00000165804	ZNF219	659	845	518	740	485	514	500
ENSG00000165806	CASP7	750	1036	576	846	570	589	655
ENSG00000165807	PPP1R36	6	0	2	7	0	2	0
ENSG00000165810	BTNL9	1	0	0	1	0	1	2
ENSG00000165813	CCDC186	989	1298	821	1080	745	792	860
ENSG00000165816	VWA2	0	2	0	6	2	1	0
ENSG00000165819	METTL3	1485	1761	1095	1578	1180	1211	1218
ENSG00000165821	SALL2	181	239	138	220	139	138	131
ENSG00000165832	TRUB1	1666	2219	1331	1828	1340	1414	1385
ENSG00000165841	CYP2C19	0	2	0	0	1	1	0
ENSG00000165861	ZFYVE1	1086	1605	928	1412	895	1088	1027
ENSG00000165868	HSPA12A	124	199	19	78	98	119	67
ENSG00000165879	FRAT1	90	128	58	100	53	76	61
ENSG00000165886	UBTD1	1051	1343	847	1237	809	910	863
ENSG00000165887	ANKRD2	0	1	0	0	0	0	0
ENSG00000165891	E2F7	2338	3299	2024	2971	2014	2144	2199
ENSG00000165895	ARHGAP42	1334	1829	1127	1624	1099	1223	1203
ENSG00000165898	ISCA2	386	582	296	393	261	304	321
ENSG00000165899	OTOGL	0	3	0	2	0	3	0
ENSG00000165905	LARGE2	52	61	53	50	35	37	27
ENSG00000165912	PACSIN3	930	1251	705	1098	669	744	837
ENSG00000165914	TTC7B	539	683	377	541	441	435	377
ENSG00000165915	SLC39A13	1424	1856	1083	1628	1032	1164	1180
ENSG00000165916	PSMC3	3937	5593	2849	4259	2753	3159	3591
ENSG00000165917	RAPSN	1	0	1	0	0	3	0
ENSG00000165923	AGBL2	11	15	6	5	3	9	2
ENSG00000165929	TC2N	7	16	4	3	3	2	2
ENSG00000165934	CPSF2	3995	5484	3254	4872	3330	3555	3809
ENSG00000165935	SMCO2	0	3	1	0	0	2	0
ENSG00000165943	MOAP1	1737	2358	1451	1993	1346	1489	1627
ENSG00000165948	IFI27L1	386	482	255	357	204	254	342
ENSG00000165949	IFI27	1536	2147	1213	1798	1104	1317	1418
ENSG00000165959	CLMN	494	639	394	595	375	419	419
ENSG00000165966	PDZRN4	0	1	0	0	0	0	0
ENSG00000165972	CCDC38	0	5	2	2	4	3	1
ENSG00000165983	PTER	1112	1445	857	1280	949	1018	1145
ENSG00000165985	C1QL3	85	128	95	121	73	95	85
ENSG00000165995	CACNB2	36	49	43	31	53	24	34
ENSG00000165996	HACD1	1802	2326	1429	1954	1165	1328	1618
ENSG00000165997	ARL5B	1085	1582	924	1295	926	886	959
ENSG00000166002	SMCO4	11	11	14	12	16	9	12
ENSG00000166004	CEP295	1065	1476	907	1273	959	932	917
ENSG00000166012	TAF1D	690	787	527	698	384	531	527
ENSG00000166016	ABTB2	1112	1524	918	1352	772	944	902
ENSG00000166024	R3HCC1L	1140	1499	908	1245	927	1015	1046
ENSG00000166025	AMOTL1	3187	4500	2651	3832	2744	2869	2931
ENSG00000166033	HTRA1	332	406	268	362	233	258	265
ENSG00000166037	CEP57	1897	2475	1614	2191	1567	1733	1633
ENSG00000166046	TCP11L2	46	74	55	78	63	63	60
ENSG00000166068	SPRED1	2586	3317	2039	2751	1877	2038	2156
ENSG00000166073	GPR176	648	884	518	764	501	544	523
ENSG00000166086	JAM3	794	1133	724	1009	641	706	755
ENSG00000166091	CMTM5	2	0	0	1	0	1	1
ENSG00000166105	GLB1L3	34	82	16	67	38	26	31
ENSG00000166106	ADAMTS15	1	2	0	0	0	1	0
ENSG00000166111	SVOP	42	39	22	43	16	24	24
ENSG00000166123	GPT2	883	1272	719	1092	682	742	817
ENSG00000166126	AMN	0	0	0	4	0	6	2
ENSG00000166128	RAB8B	3017	4148	2499	3556	2329	2601	2639
ENSG00000166130	IKBIP	2132	2597	1623	2241	1537	1709	1789
ENSG00000166133	RPUSD2	452	558	363	478	337	412	384
ENSG00000166135	HIF1AN	2864	3813	2110	3162	2144	2250	2523
ENSG00000166136	NDUFB8	3721	4860	2804	3847	2540	2773	3316
ENSG00000166140	ZFYVE19	544	606	316	470	357	393	412
ENSG00000166145	SPINT1	569	789	528	774	449	478	497
ENSG00000166147	FBN1	163	285	139	217	158	157	92
ENSG00000166148	AVPR1A	1	0	2	1	1	2	1
ENSG00000166153	DEPDC4	46	87	36	69	40	50	45
ENSG00000166164	BRD7	2887	3864	2296	3183	2190	2487	2462
ENSG00000166165	CKB	370	497	333	495	310	285	268
ENSG00000166166	TRMT61A	690	874	448	717	522	562	657
ENSG00000166167	BTRC	949	1280	743	1099	758	851	804
ENSG00000166169	POLL	625	858	529	782	487	614	522
ENSG00000166170	BAG5	1887	2532	1517	2112	1544	1655	1796
ENSG00000166171	DPCD	325	479	268	407	263	294	299
ENSG00000166173	LARP6	312	504	297	414	247	251	281
ENSG00000166181	API5	4984	7078	4077	5979	3943	4236	4673
ENSG00000166183	ASPG	0	0	0	2	0	0	1
ENSG00000166188	ZNF319	501	747	428	593	417	443	468
ENSG00000166189	HPS6	1076	1435	803	1190	785	915	968
ENSG00000166192	SENP8	115	177	114	127	91	95	107
ENSG00000166197	NOLC1	9382	13501	7658	11080	8025	8644	8964
ENSG00000166199	ALKBH3	704	950	540	821	490	571	646
ENSG00000166200	COPS2	2418	3274	1874	2837	1968	2083	2215
ENSG00000166206	GABRB3	1	2	3	1	0	1	2
ENSG00000166224	SGPL1	2028	2596	1598	2415	1589	1720	1797
ENSG00000166225	FRS2	593	906	503	832	561	561	579
ENSG00000166226	CCT2	8947	11597	6853	9695	6721	7391	7881
ENSG00000166228	PCBD1	1209	1542	903	1219	838	847	1047
