ensembl	symbol	D15-shGCN2-5BM	D15-shGCN2-5NM	D15-shGCN2-6BM	D15-shGCN2-6NM	D15-shScr-1BM	D15-shScr-1L1	D15-shScr-1R1	D15-shScr-2L1
ENSG00000006638	TBXA2R	64	83	74	74	61	83	63	48
ENSG00000006652	IFRD1	377	480	456	502	416	177	362	388
ENSG00000006695	COX10	528	594	648	443	356	241	316	331
ENSG00000006704	GTF2IRD1	627	751	837	657	500	354	589	471
ENSG00000006712	PAF1	1866	2015	2219	1571	1443	1187	903	1341
ENSG00000006715	VPS41	950	1210	1199	931	799	599	700	657
ENSG00000006740	ARHGAP44	30	26	32	41	45	7	0	8
ENSG00000006744	ELAC2	2492	2562	2795	2045	1583	1172	1183	1664
ENSG00000006747	SCIN	14	13	10	16	21	48	25	13
ENSG00000006756	ARSD	571	691	675	426	427	454	385	423
ENSG00000006757	PNPLA4	2	0	0	0	0	1	0	4
ENSG00000006788	MYH13	32	36	37	26	32	31	64	26
ENSG00000006831	ADIPOR2	2439	2450	2653	2139	1403	1201	1649	1518
ENSG00000006837	CDKL3	34	30	24	45	20	25	23	20
ENSG00000007001	UPP2	0	0	0	0	0	0	0	0
ENSG00000007038	PRSS21	0	0	0	0	0	0	0	0
ENSG00000007047	MARK4	954	1151	1133	661	812	441	413	661
ENSG00000007062	PROM1	0	0	11	1	0	0	0	0
ENSG00000007080	CCDC124	2876	3320	3982	3188	2345	1713	1908	2562
ENSG00000007129	CEACAM21	0	0	0	0	0	0	0	0
ENSG00000007168	PAFAH1B1	1897	1995	2073	1817	1296	1113	1013	1420
ENSG00000007171	NOS2	0	3	0	0	5	7	0	6
ENSG00000007174	DNAH9	39	12	4	7	25	39	1	69
ENSG00000007202	KIAA0100	3975	4160	4634	3187	2982	1987	2313	2686
ENSG00000007216	SLC13A2	7	1	17	6	0	0	0	0
ENSG00000007237	GAS7	541	154	32	65	750	872	33	880
ENSG00000007255	TRAPPC6A	126	129	149	79	131	88	21	169
