protein_ids,symbols,description,log2FoldChange,log2_GiB,log2_DMSO,statistic,p.value,parameter,conf.low,conf.high,method,alternative,padj
E9PKN0;O94913;E9PQ01;E9PQF9,PCF11,Pre-mRNA cleavage complex 2 protein Pcf11,0.13688299839858686,16.543321447763713,16.406438449365126,7.527190857750324,0.0019061283071020322,3.8670174211443835,0.0857007744657516,0.18806522233142212,Welch Two Sample t-test,two.sided,0.008506106105652243
E9PKT9;O96033,MOCS2,Molybdopterin synthase sulfur carrier subunit,0.6531691192902223,18.056871322757324,17.403702203467102,7.381465456349408,0.004091563498588695,3.2045085870635632,0.3814607306218471,0.9248775079585975,Welch Two Sample t-test,two.sided,0.014403973540949997
E9PKW1;Q9NS15;H0YC99;E9PJR2;H0YCQ2;H0YCX6,LTBP3,Latent-transforming growth factor beta-binding protein 3,-0.32002900597396433,15.482778112072683,15.802807118046648,-5.820112618839017,0.002318210380366625,4.863737214273551,-0.46257634231525785,-0.1774816696326709,Welch Two Sample t-test,two.sided,0.009738535176012203
E9PKZ0;P62917;G3V1A1;E9PKU4;E9PP36,RPL8,60S ribosomal protein L8,0.3004598960031686,22.71846332041058,22.418003424407413,7.401212880854032,0.0010022262984824937,4.608330049876349,0.1933794917236144,0.4075403002827228,Welch Two Sample t-test,two.sided,0.005722819889145232
E9PL10;Q96K17,BTF3L4,Transcription factor BTF3;Transcription factor BTF3 homolog 4,0.053379290283213976,17.120548833613736,17.06716954333052,1.9225725458555352,0.11259909086089095,4.996341801189966,-0.01800738259477622,0.12476596316120418,Welch Two Sample t-test,two.sided,0.16809087692852204
E9PL56;O14966,RAB29,Ras-related protein Rab-7L1,0.2029863809751511,18.5142893889059,18.31130300793075,5.378113583542496,0.00749931708152752,3.6439697743107438,0.09403083534143061,0.3119419266088716,Welch Two Sample t-test,two.sided,0.021925969433279617
E9PL57;F8VSA6;E9PS38;S4R3E9;Q15843,NEDD8-MDP1;NEDD8,NEDD8,0.11477351130784896,19.792008925466554,19.677235414158705,2.7231209201195647,0.04163842155904456,4.997875911486126,0.006415333226854585,0.22313168938884337,Welch Two Sample t-test,two.sided,0.07822867678977848
E9PPF9;E9PLD2;Q9H019;E9PPQ0;C9JF50;E9PLU1;E9PRK5,MTFR1L,Mitochondrial fission regulator 1-like,0.057745206015269446,15.483984482641159,15.42623927662589,0.9468301781428845,0.407571899598265,3.3109949241714243,-0.12642890244173832,0.24191931447227719,Welch Two Sample t-test,two.sided,0.48725948911977857
E9PLI6;E9PS76;Q8N9N8;E9PQD0;E9PS30;E9PNH5,EIF1AD,Probable RNA-binding protein EIF1AD,0.6819315442776102,18.051621110321143,17.369689566043533,14.577411480178442,0.0018224488650408228,2.4795597149342594,0.5137187313227259,0.8501443572324943,Welch Two Sample t-test,two.sided,0.008281845754211864
E9PLK3;P55786;A0A7I2V389;A0A7I2V3W8;E9PPZ2;A6NEC2;H0YDG0;A0A7I2V604;H0YCQ5;E9PP11;E9PJY4;A0A7I2V5D4;E9PJ74;E9PPD4;E9PRQ5,NPEPPS,Puromycin-sensitive aminopeptidase,-0.1763317175740191,21.27370189223244,21.45003360980646,-10.769688259601976,9.467186243313352e-4,3.4082924813622713,-0.22507853947081943,-0.1275848956772188,Welch Two Sample t-test,two.sided,0.005508027726066144
