direction,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,y
induced,GO:1903313,positive regulation of mRNA metabolic process,32/3596,77/14222,0.00126281502790726,0.02183927165910209,0.01992745571901958,UPF1/PAF1/THRAP3/CIRBP/GTPBP1/SNW1/ZC3HAV1/HSPA8/PRPF19/NUP98/RBM24/NCBP2/TARDBP/HNRNPR/METTL16/ZFP36/CDC73/TRA2B/NCBP1/HNRNPD/FTO/SF3B4/YTHDF1/BTG2/METTL3/LEO1/NUDT21/POLR2G/HSF1/YTHDF3/PLEKHN1/YTHDF2,32,71
induced,GO:0031440,regulation of mRNA 3'-end processing,15/3596,28/14222,0.00125420449266501,0.02175434341259679,0.01984996211493123,PAF1/ZC3H3/SNRPA/ZC3H14/RNF40/CPSF6/NCBP2/CDC73/NCBP1/VIRMA/LEO1/NUDT21/HSF1/SUPT5H/CTR9,15,72
induced,GO:1903008,organelle disassembly,42/3596,108/14222,0.00122548748619359,0.02131913141662238,0.0194528486986259,USP36/SREBF1/TIGAR/MTIF2/KIF9/MUL1/HIF1A/VRK1/ZFAND1/CDC37/GBF1/PPARGC1A/HTRA2/PARK7/UFM1/ATP5IF1/DENR/MAP1LC3B/DYRK3/EIF2D/HAX1/ATG3/ATG12/MRRF/PELO/SQSTM1/STX5/FZD5/TEX264/SLC25A46/VCP/FUNDC2/CDK1/KIF5B/PLK3/PARL/ATG13/GBA/ATG7/DDRGK1/ATG9A/MCTS1,42,73
induced,GO:2001244,positive regulation of intrinsic apoptotic signaling pathway,24/3596,53/14222,0.00121838117619088,0.02125840153116444,0.01939743512430095,BCLAF1/BAX/SIRT1/PIAS4/BBC3/PARK7/PLAGL2/STYXL1/SKIL/PMAIP1/SOD1/MCL1/RPS3/FLCN/NCK1/RPL26/PLEKHF1/NKX3-1/BCL2L1/BCL2/RPS7/RAD9A/DDIT3/SIAH1,24,74
induced,GO:0006361,transcription initiation from RNA polymerase I promoter,18/3596,36/14222,0.00121319805751683,0.02123096600654467,0.01937240131316831,MNAT1/POLR1H/BAZ2A/RRN3/POLR2F/TAF1C/POLR1F/GTF2H1/TBP/POLR1G/CCNH/TAF1A/GTF2H2/POLR2K/CAVIN1/POLR2L/GTF2H4/GTF2H5,18,75
induced,GO:0034250,positive regulation of cellular amide metabolic process,56/3596,153/14222,0.00119558027685595,0.02098511053108354,0.01914806809468901,ELAVL1/RHOA/PICALM/PPP1R15A/CIRBP/EIF3D/UQCC1/CDK5RAP1/EIF3E/LARP4B/C1QBP/NFE2L2/NSUN4/FASTKD2/SERP1/RPL5/FASTKD3/UPF3B/MIF4GD/NSUN5/CDK4/UQCC2/METTL5/HNRNPD/EIF4A3/CCN1/YTHDF1/GUF1/UHMK1/LARP1/RPL30/RPUSD3/NCK1/LARP4/RPL26/METTL3/TRUB2/POLR2G/ZCCHC4/PTAFR/CNBP/PYM1/RELA/TRMT10C/NPM1/NGRN/COA3/EIF3C/RPS27L/YTHDF3/PIWIL2/YTHDF2/DDX39B/DDX3X/EIF6/MPV17L2,56,76
induced,GO:0010821,regulation of mitochondrion organization,66/3596,186/14222,0.00119155214419558,0.02097702577206601,0.0191406910777337,PLAUR/BAK1/FNIP2/USP36/CASP8/TFRC/SREBF1/TIGAR/TP73/GSK3B/BAX/SIRT4/MUL1/HIF1A/E2F1/PSMD10/BBC3/CDC37/YWHAE/UBE2D3/PPARGC1A/GOLPH3/HTRA2/PARK7/WDR35/ZNF205/YWHAH/ATP5IF1/PRKAA1/YWHAQ/NMT1/PMAIP1/HAX1/BAG3/FLCN/MCU/MPV17L/UBE2J2/LMNA/SQSTM1/FZD5/YWHAZ/FXN/MOAP1/PRELID1/YWHAG/TRIAP1/BCL2L1/BCL2/PARL/ATG13/SFN/GBA/PLD6/HIGD1A/UBE2L3/SIRT7/MARCHF5/PRMT6/HSPA1A/MLLT11/SLC35F6/FNIP1/PAM16/PPP3R1/GPX1,66,77
induced,GO:0000731,DNA synthesis involved in DNA repair,23/3596,50/14222,0.00117635103667012,0.02077160389075183,0.01895325188527785,REV3L/SPRTN/RFC2/POLD3/SIRT1/POLE2/POLA1/USP10/RPA3/POLD2/RPA2/HROB/CDKN2D/PCNA/RFC3/DTL/RPS27A/RFC4/VCP/PCLAF/NPLOC4/TREX1/UBA52,23,78
induced,GO:0034620,cellular response to unfolded protein,53/3596,143/14222,0.00115045193290483,0.02037547399241099,0.0185917993088648,DDX11/BAK1/HERPUD1/TM7SF3/DERL2/MYDGF/PPP1R15A/BAX/DNAJB11/XBP1/ARFGAP1/FKBP14/GOSR2/TMEM33/HSPA8/NFE2L2/ZBTB17/SERP1/COPS5/VAPB/DNAJB9/SELENOS/EIF2S1/RNF121/PREB/TMBIM6/HDGF/CREB3L4/SRPRB/BAG3/HSPB8/CLGN/CXXC1/NCK1/PPP1R15B/ATP6V0D1/LMNA/ATF3/VCP/CXCL8/HSPA6/YIF1A/DDIT3/CREB3L2/SRPRA/HSF1/PTPN1/DDRGK1/GET3/FICD/HSPA1B/HSPA1A/CALR3,53,79
induced,GO:0006383,transcription by RNA polymerase III,22/3596,47/14222,0.00112334035727905,0.01995541178489679,0.01820850946430701,TENM1/SNAPC1/GTF3C1/CHD8/BRF2/ELL/TBP/GTF3C2/GTF3C3/GTF3C4/RPTOR/ZC3H8/POLR2K/GTF3C5/GTF3C6/POLR3K/ZNF143/NAB2/SNAPC5/POLR2L/POLR3C/CRCP,22,80
induced,GO:0022900,electron transport chain,61/3596,169/14222,0.00111053613045719,0.01978773468814642,0.01805551086743329,NDUFAB1/SLC25A13/CIAPIN1/UQCRC1/COX15/GLRX2/AIFM2/NDUFB4/CYB5B/GSR/GLRX3/PPARGC1A/COX6A1/PARK7/SDHB/AKR1A1/NDUFB3/NDUFA8/COX6B1/UQCR11/NDUFA5/NDUFA10/NDUFA2/NDUFB5/FDX1/NDUFAF1/NDUFA9/NDUFB10/SH3BGRL3/DEGS1/NDUFS6/SRD5A1/NDUFB11/NDUFB9/UQCRB/NDUFV3/NDUFS4/UQCRQ/COX11/NDUFV1/SDHAF2/COA6/NDUFS5/UQCRFS1/CDK1/CYCS/GLRX/NDUFA11/COX8A/GLRX5/UQCR10/NDUFA12/NDUFA6/ADH5/ND2/ND1/SDHD/UQCC3/ETFRF1/POLG2/FDX2,61,81
induced,GO:1902042,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,17/3596,33/14222,0.00107660157734791,0.01924138989302655,0.01755699324825569,FAS/CASP8/GSK3B/ICAM1/HMOX1/TNFRSF10A/SERPINE1/PARK7/TNFAIP3/TNFRSF10B/ITPRIP/PEA15/HMGB2/FADD/BCL2L1/DDX3X/GPX1,17,82
induced,GO:0043247,telomere maintenance in response to DNA damage,9/3596,13/14222,0.00107518573598201,0.01924138989302655,0.01755699324825569,ERCC1/TFIP11/APEX1/ACD/DCLRE1B/TERF2/TERF2IP/ERCC4/DCLRE1A,9,83
induced,GO:0098789,pre-mRNA cleavage required for polyadenylation,9/3596,13/14222,0.00107518573598201,0.01924138989302655,0.01755699324825569,CSTF2/CPSF6/NCBP2/NCBP1/FIP1L1/TUT1/CPSF2/NUDT21/CSTF2T,9,84
induced,GO:0051656,establishment of organelle localization,130/3596,405/14222,0.00105901929149333,0.01910132955208842,0.01742919382867789,MAD1L1/PAFAH1B1/CENPQ/CUL3/DTNBP1/C12orf4/TRAPPC3/CROCC/RIOK2/AP3M2/CDC42/PICALM/DLG1/SPAG5/PCM1/SAR1A/DNM2/PSEN1/NDC80/PIBF1/CHMP2B/CD59/SEH1L/CHMP5/TMED2/LAT2/NSFL1C/TMEM230/EZR/CDC23/SNAP29/HMOX1/CNIH1/HIF1A/KIF3B/CHMP4B/FAM83D/BLOC1S6/PPP6R1/NAPA/BET1/SEC23IP/GBF1/BCCIP/KPNB1/GOSR2/NUP88/GOSR1/PPP6R3/ARL6/PDCD10/TFG/SNX4/GORASP1/RPS15/MARK1/VAMP8/UBE2B/PPP6C/NR4A3/VPS4B/KIF18A/MYO1B/CHMP2A/VPS4A/CDCA8/BLOC1S1/NUMA1/NUSAP1/KIF23/ACTR2/PREB/BBS7/BBS4/PDPK1/PEX14/SNAPIN/BOD1/DYNLT1/MCPH1/TERF1/ARFGAP2/INCENP/BICD1/SAR1B/HNRNPU/SEC13/STX5/PEF1/TRIM58/BBS5/TGFA/ABCE1/YWHAZ/GEM/CCDC186/PLK1/TRAPPC2L/MIS12/NMD3/NLGN1/KIF5B/CEP19/RAB1B/NPPA/AURKB/RRS1/MCFD2/SCRIB/TRAPPC5/NPM1/TMED9/AP3M1/BICD2/BLOC1S4/CLN3/TMEM201/BLOC1S2/TRAPPC4/DYNC1H1/NUP62/LAT/KIFC1/EIF6/PDCD6/PINX1/CHMP1B/SEC22B/IKBKG/NEFL,130,85
induced,GO:1900739,regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,14/3596,25/14222,0.00102319364037934,0.01851193417055557,0.01689139428344464,CASP8/TP73/E2F1/BBC3/YWHAE/YWHAH/YWHAQ/NMT1/PMAIP1/YWHAZ/YWHAG/BCL2/SFN/PPP3R1,14,86
induced,GO:1900740,positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,14/3596,25/14222,0.00102319364037934,0.01851193417055557,0.01689139428344464,CASP8/TP73/E2F1/BBC3/YWHAE/YWHAH/YWHAQ/NMT1/PMAIP1/YWHAZ/YWHAG/BCL2/SFN/PPP3R1,14,87
induced,GO:0006900,vesicle budding from membrane,42/3596,107/14222,9.866483616436232e-4,0.01796127667636069,0.01638894150007348,CUL3/TRAPPC3/PICALM/SAR1A/DNM2/CD59/CHMP5/TMED2/CNIH1/SEC23B/CHMP4B/VAPA/PPP6R1/NAPA/BET1/SEC23IP/GBF1/GOSR2/PPP6R3/SNX3/GOLPH3/TFG/GORASP1/PPP6C/VAPB/VPS4A/PREB/ARFGAP2/SAR1B/SEC13/STX5/PEF1/TGFA/TRAPPC2L/RAB1B/MCFD2/TRAPPC5/ANXA2/TMED9/TRAPPC4/PDCD6/SEC22B,42,88
induced,GO:0048524,positive regulation of viral process,42/3596,107/14222,9.866483616436232e-4,0.01796127667636069,0.01638894150007348,POLR2J/YTHDC2/RSF1/TAF11/TSG101/HACD3/FKBP6/CHMP2B/PPIE/POLR2F/SNW1/CHMP4B/VAPA/POLR2C/HSPA8/CHMP3/VPS4B/VAPB/GTF2F1/CHMP2A/VPS4A/GTF2B/VPS37B/POLR2K/CHD1/TRIM11/LARP1/POLR2G/PPIH/CFL1/PDE12/TMEM39A/JUN/POLR2L/RAD23A/POLR2A/NELFA/GTF2F2/SUPT5H/ZNF502/SUPT4H1/DDX3X,42,89
induced,GO:0016579,protein deubiquitination,86/3596,252/14222,9.80519034408478e-4,0.01796090941533287,0.01638860638917859,PSMB1/PSMC4/BIRC3/PSMA4/USP36/RHOA/OTUD5/UBE2D1/ACTB/SART3/PSMC5/CLSPN/PSMD5/PSMD8/JOSD1/PSMC6/PSMA3/HIF1A/PSMC1/PSMB5/PSMA6/USP14/PSMD10/PSMD7/USP10/USP31/CCP110/BABAM1/TFPT/PSMA2/PSMD11/BIRC2/SNX3/STAM2/PSMD14/INO80B/PARK7/UCHL5/CDC20/TNFAIP3/UCHL3/RAD23B/ENY2/COPS5/PSMF1/NEDD8/ADRM1/DDB2/APC/USP15/MDM2/STAM/PSMB7/STAMBPL1/WDR20/PSMB6/MINDY1/RPS27A/SKP2/OTUD6B/PSMB4/PSMC2/UBXN1/USP1/NLRP3/PSMD6/CDC25A/FOXK1/VCP/PSMC3/OTUB1/USP39/USP38/CDK1/USP32/RCE1/EIF3F/RUVBL1/RAD23A/HGS/BRCC3/PSMD12/UBA52/OTUD7B/IKBKG/PSMB3,86,90
induced,GO:0048207,"vesicle targeting, rough ER to cis-Golgi",28/3596,64/14222,9.669292322966412e-4,0.01776732464345078,0.0162119680822894,CUL3/TRAPPC3/SAR1A/CD59/TMED2/CNIH1/PPP6R1/NAPA/BET1/SEC23IP/GOSR2/PPP6R3/TFG/GORASP1/PPP6C/PREB/SAR1B/SEC13/STX5/PEF1/TGFA/TRAPPC2L/RAB1B/MCFD2/TRAPPC5/TRAPPC4/PDCD6/SEC22B,28,91
induced,GO:0048208,COPII vesicle coating,28/3596,64/14222,9.669292322966412e-4,0.01776732464345078,0.0162119680822894,CUL3/TRAPPC3/SAR1A/CD59/TMED2/CNIH1/PPP6R1/NAPA/BET1/SEC23IP/GOSR2/PPP6R3/TFG/GORASP1/PPP6C/PREB/SAR1B/SEC13/STX5/PEF1/TGFA/TRAPPC2L/RAB1B/MCFD2/TRAPPC5/TRAPPC4/PDCD6/SEC22B,28,92
induced,GO:0000245,spliceosomal complex assembly,26/3596,58/14222,9.3397077504489e-4,0.01726964829328287,0.01575785845880107,YTHDC1/GEMIN2/SF3A1/SRSF5/CRNKL1/SF3A2/PRPF19/SNRPC/SRSF1/NCBP1/SCAF11/SNRPG/LUC7L2/GEMIN6/SLU7/SNRPD1/SF1/USP39/SMN1/DDX23/SNRPE/SF3A3/SRSF10/DDX39B/SMN1/ISY1,26,93
induced,GO:0006362,transcription elongation from RNA polymerase I promoter,16/3596,30/14222,9.239793831257972e-4,0.0171387973904722,0.01563846228056513,MNAT1/POLR1H/POLR2F/TAF1C/POLR1F/GTF2H1/TBP/POLR1G/CCNH/TAF1A/GTF2H2/POLR2K/POU4F1/POLR2L/GTF2H4/GTF2H5,16,94
induced,GO:0036258,multivesicular body assembly,16/3596,30/14222,9.239793831257972e-4,0.0171387973904722,0.01563846228056513,VTA1/TSG101/CHMP2B/CHMP5/CHMP4B/STAM2/CHMP3/VPS4B/CHMP2A/VPS25/VPS4A/STAM/VPS37B/IST1/HGS/CHMP1B,16,95
induced,GO:0051225,spindle assembly,44/3596,113/14222,9.218782263783192e-4,0.0171387973904722,0.01563846228056513,RHOA/SMC1A/SPAG5/PIBF1/CHMP2B/CHMP5/TPX2/HAUS4/KIF3B/MAPRE1/CHMP4B/BCCIP/KPNB1/FBXO5/CDC20/VPS4B/TUBGCP3/TUBGCP2/CHMP2A/NUMA1/KIF23/HAUS2/RPS3/INCENP/NEK7/HAUS1/HNRNPU/MAP9/PLK1/MAPRE2/SAC3D1/GOLGA8A/AURKB/RCC1/DYNC1H1/PRC1/CENPW/HSPA1B/HSPA1A/MZT1/MAP10/HAUS7/KIFC1/CHMP1B,44,96
induced,GO:1903829,positive regulation of cellular protein localization,106/3596,320/14222,9.108304851697628e-4,0.01705631609171402,0.01556320141773476,TENM1/CENPQ/EPHA3/USP36/CROCC/RIOK2/CASP8/NGFR/CDC42/TFRC/TSG101/DLG1/PCM1/TP73/SAR1A/PSEN1/NDC80/GSK3B/RBM22/EZR/E2F1/EMD/PARD6A/ZFAND1/BBC3/GLI3/YWHAE/RANGRF/UBE2D3/PDCD10/ECT2/RTN4/HTRA2/PARK7/RAB29/MESD/TCP1/PLS1/TARDBP/ACSL3/YWHAH/LIF/TRIM28/SESN2/DKC1/PRKAA1/XPO4/LAMTOR5/YWHAQ/APC/CCT7/MDM2/NMT1/NUMA1/SORL1/RDX/CTDSPL2/MEAK7/PDPK1/WRAP53/PMAIP1/EPHA2/ABCA12/EGFR/CCT6A/MSN/CCT5/BICD1/BAG3/SAR1B/CCT8/ZDHHC5/RER1/UBE2J2/SQSTM1/PRKAA2/FZD5/CCT3/YWHAZ/CCT2/PLK1/STX3/MAP1A/NMD3/YWHAG/CDK1/KIF5B/PRKCE/TRIM8/BCL2/PRNP/PLK3/LARP7/HRAS/ATG13/SFN/CDK5R1/RHOG/CIB1/UBE2L3/CLN3/DDRGK1/CEP290/NUP62/PPP3R1/PINX1,106,97
induced,GO:1902110,positive regulation of mitochondrial membrane permeability involved in apoptotic process,25/3596,55/14222,9.075928689211824e-4,0.01704998744171422,0.01555742677952334,BAK1/CASP8/TP73/GSK3B/BAX/MUL1/E2F1/BBC3/YWHAE/ZNF205/YWHAH/ATP5IF1/YWHAQ/NMT1/PMAIP1/MPV17L/YWHAZ/MOAP1/YWHAG/BCL2/SFN/BLOC1S2/HSPA1A/SLC35F6/PPP3R1,25,98
