pathway,pval,padj,log2err,ES,NES,size,leadingEdge,culture,signed_log_padj
HYPOXIA,0.00143232969426256,0.00396449022815701,0.45505986738722953,-0.39732605337580784,-1.5134925632898728,186,BGN;DPYSL4;ANGPTL4;IGFBP3;PGM1;STC1;COL5A1;VLDLR;PFKL;SDC3;CDKN1C;DCN;CCNG2;ALDOC;PLAC8;EFNA3;PPFIA4;SLC25A1;PDGFB;GAA;GYS1;RORA;UGP2;AKAP12;DDIT4;NDRG1;PFKP;PDK1;TGFBI;AK4;HS3ST1;HK2;MXI1;LARGE1;PFKFB3;IER3;TGFB3;SRPX;SLC37A4;PNRC1;GRHPR;GPC1;PGF;PRKCA;P4HA2;PGAM2;P4HA1;STBD1;ENO1;HK1;XPNPEP1;SCARB1;CDKN1B;MIF;PLIN2;INHA;PGK1;TPST2;RBPJ;MAP3K1;TGM2;STC2;ADORA2B;EFNA1;GPC4,GiB-48h,-2.4018126482786735
IL2_STAT5_SIGNALING,0.0015857960912628,0.00396449022815701,0.45505986738722953,-0.4021068668299785,-1.5169949420836877,178,TNFRSF1B;TTC39B;PLAGL1;CD81;CTSZ;CDKN1C;COL6A1;MYO1E;ITIH5;TRAF1;TIAM1;PTCH1;RORA;TNFRSF21;AMACR;CD44;ADAM19;P2RX4;SLC29A2;NDRG1;ANXA4;LRIG1;HK2;ITGA6;SPRY4;COCH;MAP3K8;FAH;HIPK2;CKAP4;ITGAV;NRP1;NT5E;DENND5A;P4HA1;EEF1AKMT1;IL4R;SNX9;CYFIP1;APLP1;PLIN2;F2RL2;CTLA4;ENPP1;TGM2;RABGAP1L;PLPP1;AHR;EMP1;RGS16;SNX14;ST3GAL4;GPX4;CAPG;CCNE1;SYNGR2;NFKBIZ;CSF1;FLT3LG;DHRS3;TWSG1;SMPDL3A;RRAGD;NCOA3;SYT11;SOCS1,GiB-48h,-2.4018126482786735
IL6_JAK_STAT3_SIGNALING,5.49533915413522e-4,0.0021135919823597,0.47727081536286214,-0.5260171968029385,-1.7593656487202705,69,TNFRSF1B;SOCS3;CD14;CD9;IL1B;IL12RB1;ITGB3;TNFRSF21;CD44;A2M;LTBR;STAT2;MAP3K8;IFNGR2;IL10RB;ITGA4;IL13RA1;ACVR1B;IRF9;IL15RA;IL4R;OSMR;LEPR;TNFRSF1A,GiB-48h,-2.6749788471668796
INFLAMMATORY_RESPONSE,0.5393258426966292,0.599250936329588,0.05785297570325092,-0.2563327389361733,-0.964827057072562,169,IL18;TNFRSF1B;ROS1;ICOSLG;KCNJ2;CD14;BST2;IFITM1;IL1B;ITGB3;P2RX4;PDE4B;PTGER4;CCL2;GABBR1;MMP14;IFNGR2;NMI;ACVR1B;IL15RA;IL4R;OSMR;RIPK2;CD40;ABCA1;TAPBP;CCL24;SEMA4D;ITGB8;ADORA2B;AHR;ITGA5;RGS16;CX3CL1;NAMPT,GiB-48h,-0.2223912787086504
INTERFERON_ALPHA_RESPONSE,3.4848074650627935e-6,5.491340431994923e-5,0.6272567397185284,-0.5538751262497836,-1.9479690897680235,95,GMPR;UBA7;HELZ2;BST2;IFITM1;DHX58;DDX60;GBP2;PARP12;TDRD7;MOV10;LPAR6;STAT2;USP18;NMI;HLA-C;IFITM2;IRF9;IL4R;IRF2;RIPK2;NUB1;RNF31;MX1;HERC6;PARP14;MVB12A;TRIM5;LGALS3BP;TRAFD1;PSME1;UBE2L6;IFIH1;CSF1;TMEM140;OASL;CMPK2;LAMP3;PSME2;PSMB8;PSMB9;OGFR;ISG20;IFITM3;LY6E;PARP9;CMTR1;TRIM25,GiB-48h,-4.260321631658698
INTERFERON_GAMMA_RESPONSE,0.01550175856974566,0.02870696031434382,0.3807304007227924,-0.3584158440771074,-1.3591730051799742,181,CIITA;ST8SIA4;SOCS3;HELZ2;BST2;APOL6;DHX58;DDX60;NOD1;PARP12;TDRD7;PSMB10;PFKP;SECTM1;IFNAR2;PDE4B;IRF5;CCL2;HLA-DRB1;STAT2;HLA-DMA;C1R;HLA-DQA1;USP18;NMI;MVP;OAS3;IFITM2;IRF9;IL15RA;IL4R;IRF2;RIPK2;RNF31;MX1;CD40;TAPBP;TNFAIP2;HERC6;PARP14;HLA-B;NAMPT;LGALS3BP;ITGB7;TRAFD1;XCL1;PSME1;UBE2L6;IFIH1;ST3GAL5;RIPK1;CASP4;PTPN6;OASL;NCOA3;CMPK2;SOCS1;PSME2;RNF213;PSMB8;PSMB9;OGFR;ISG20;IFITM3;NLRC5;LY6E;CMTR1;HLA-A;STAT3;MARCHF1;TRIM25,GiB-48h,-1.5420127910839971
KRAS_SIGNALING_DN,1.444124163094595e-4,9.025776019341218e-4,0.5188480777437918,-0.4540596430699604,-1.6835437704761125,147,KRT5;LFNG;ABCG4;THRB;TFF2;SLC30A3;LYPD3;IRS4;CCNA1;THNSL2;UPK3B;SNN;TFAP2B;SLC29A3;TENT5C;FGFR3;KRT15;PDK2;GPRC5C;PLAG1;GDNF;CCDC106;MACROH2A2;SLC25A23;TGFB2;MAST3;PTPRJ;ARHGDIG;KCNN1,GiB-48h,-3.044515447989716
KRAS_SIGNALING_UP,0.176056338028169,0.23165307635285395,0.12098514214525231,-0.3082917923133923,-1.1610969629339774,171,TNFRSF1B;RBP4;ALDH1A3;ANGPTL4;IGFBP3;GFPT2;SNAP25;GPRC5B;IL1B;LAPTM5;TRAF1;BTBD3;JUP;AKAP12;ST6GAL1;SPRY2;F2RL1;ID2;CAB39L;MMD;SERPINA3;TRIB2;PRRX1;MTMR10;NRP1;VWA5A;FBXO4;ZNF277;GABRA3;TRIB1;CBR4;MYCN;KCNN4;PCSK1N;ANKH;ADGRA2;MAP3K1;ATG10;RABGAP1L;EMP1;RGS16;CTSS;HKDC1;PRELID3B;MMP9;IGF2;ANO1;BTC;AVL9;MMP11;SCN1B,GiB-48h,-0.6351619279918103
MITOTIC_SPINDLE,0.03586206896551724,0.05977011494252873,0.28201335001172506,-0.3447971164732902,-1.3259962339486089,199,ARHGEF3;MYO1E;MARK4;GSN;TIAM1;TBCD;PREX1;BIN1;PKD2;LLGL1;MYH10;LRPPRC;TTK;SUN2;RANBP9;CEP250;CDC42EP4;FARP1;CDC42EP1;RAPGEF5;ARHGAP29;TLK1;NCK2;ABR;CDC42BPA;PIF1;ARL8A;PXN;HDAC6;CEP131;ARHGAP5;MARCKS;CLIP2;DOCK4;ARHGEF11;CYTH2;MYO9B;RHOT2;BCR;ITSN1;KPTN;ABL1;ARHGAP27;KIF3C;PCNT;RFC1;NIN;RALBP1;SMC4;DST;ARAP3;KIF15;CD2AP;STK38L;SMC3;NET1;CENPE;TSC1;TOP2A;BIRC5;PLEKHG2,GiB-48h,-1.2235159089838197
MTORC1_SIGNALING,0.05285033728851102,0.08257865201329848,0.3217759180753611,0.28533187470609933,1.2094366666309266,198,CDKN1A;PPP1R15A;SQSTM1;IFRD1;BTG2;RRM2;RIT1;DDIT3;PNO1;PSMC4;XBP1;DDX39A;EEF1E1;NFKBIB;UFM1;PNP;PSMC2;CDC25A;UBE2D3;COPS5;TES;TFRC;GSK3B;PSMD12;SDF2L1;CYB5B;SLC7A5;CACYBP;PSMD14;NMT1;MLLT11;SERP1;DHFR;GTF2H1;NFIL3;PSMC6;RDH11;ATP5MC1;PDAP1;M6PR;ETF1;SC5D;ABCF2;MCM2;EBP;FDXR;PSPH;ATP2A2;CYP51A1;ACSL3;TUBG1;PSMA3;MTHFD2;GLRX;NUFIP1,GiB-48h,1.0831322106834558
