pathway,pval,padj,log2err,ES,NES,size,leadingEdge,signed_log_padj
P53_PATHWAY,0.35602094240837695,0.4238344552480678,0.09026354843400684,-0.26215615939164294,-1.048943323779841,84,CD81;CDH13;ITGB4;RXRA;APP;PTPN14;UPP1;NDRG1;APAF1;EPS8L2;TRAFD1;F2R;TM4SF1;LDHB,-0.3728037406033729
PANCREAS_BETA_CELLS,0.4288747346072187,0.498691551868859,0.09082414190071554,0.448994928432256,1.0502210825771852,9,AKT3;SPCS1;SEC11A;SRPRB;SRP14;SRP9,0.30216798892584007
PEROXISOME,0.011044926147641382,0.03451539421137932,0.3807304007227924,-0.41842656434074993,-1.58734389829928,64,CAT;IDH1;IDI1;ACSL4;ACOX1;MVP;IDE;CRAT;TOP2A;PEX5;HMGCL;SLC25A17;SCP2;CADM1;ECI2;PEX2;HSD17B4;PEX11B;ALDH9A1;CTBP1;PEX14;PRDX1;ABCD3;SOD1;YWHAH,-1.4619871620308817
PI3K_AKT_MTOR_SIGNALING,0.7019438444924406,0.7467487707366389,0.06583119583688658,0.22190403271621847,0.8784087518249877,69,SQSTM1;CDK2;AKT1S1;NFKBIB;CDK4;CAMK4;ATF1;THEM4;MKNK1;PRKAG1;DUSP3;RAC1;GSK3B;CSNK2B;PRKAR2A;MAP2K3;PTPN11;PAK4,0.12682548363877744
PROTEIN_SECRETION,0.009239009691001044,0.03169927993105745,0.3807304007227924,-0.3995944863773089,-1.5922848642261278,83,CD63;ARF1;TOM1L1;ADAM10;ANP32E;CLTA;RAB5A;VPS45;RPS6KA3;EGFR;GLA;COPB2;RAB9A;SNAP23;CTSC;CLCN3;ARFIP1;KRT18;CLTC;IGF2R;ICA1;PAM;ATP6V1H;MAPK1;STX7;LMAN1;OCRL;SOD1;STX16;GALC;DNM1L;BNIP3;AP2S1;RAB14;AP2B1;AP1G1;COPB1;SCAMP1;ZW10,-1.4989506029406128
REACTIVE_OXYGEN_SPECIES_PATHWAY,0.15370705244122965,0.2561784207353828,0.15016980212840597,-0.3770847647624871,-1.2511325783822955,33,CAT;NQO1;PRDX6;TXNRD1;PRNP;NDUFS2;GCLC;PFKP;OXSR1;PRDX1;SOD1;TXN;G6PD;PDLIM1;MSRA;ERCC2,-0.5914574559740491
SPERMATOGENESIS,0.18199233716475097,0.28436302681992337,0.14122511964253093,-0.35737811223310667,-1.2168050474828385,40,TTK;IDE;IL13RA2;PGK2;JAM3;TLE4,-0.5461268716973016
TGF_BETA_SIGNALING,0.5091911764705882,0.5786263368983957,0.07380527241712746,-0.3066196647191521,-0.9688636783257648,29,SMAD3;CTNNB1;ENG;PPM1A;SLC20A1;ID1;XIAP;NCOR2;APC,-0.23760180278389997
TNFA_SIGNALING_VIA_NFKB,0.22304832713754646,0.3097893432465923,0.12384217120104962,-0.3111839465247969,-1.1511774345901715,57,SMAD3;TNFAIP2;TANK;ZBTB10;CEBPB;GFPT2;TRAF1;NFAT5;TNC;PDE4B;MARCKS;ATP2B1;KYNU;B4GALT5;CD44;IL6ST,-0.5089335260500328
UNFOLDED_PROTEIN_RESPONSE,0.7607913669064749,0.7763177213331376,0.05334778506754903,-0.21692508325695814,-0.8526342049208655,79,ASNS;PSAT1;TTC37;CEBPB;IFIT1;HSPA5;MTHFD2;CNOT2,-0.10996049989950998
UV_RESPONSE_DN,1.0032509950439768e-4,0.0010032509950439767,0.5384340963099162,-0.4878011882231554,-1.904699072983689,77,SMAD3;COL5A2;MMP16;ATRX;VLDLR;PPARG;ANXA4;RXRA;ATP2B4;ADD3;ITGB3;PIK3CD;LAMC1;ATRN;ATP2B1;SLC22A18;CAP2;BCKDHB;SCHIP1;ID1;MIOS;MAP1B;NIPBL;CACNA1A;ADGRL2;ERBB2;ICA1;PHF3,-2.998590400852141
UV_RESPONSE_UP,0.6748878923766816,0.7335737960616103,0.06961334388509648,0.2193232009127799,0.8896649559782989,79,SQSTM1;CDK2;JUNB;DNAJA1;CHKA;WIZ;BAK1;FEN1;CYB5R1;POLE3;CNP;AGO2;SLC25A4;CDC34;ALDOA;HMOX1,0.13455619046385386
WNT_BETA_CATENIN_SIGNALING,0.12162162162162163,0.2171814671814672,0.17669426893849804,-0.5216931708825068,-1.3567170683310494,13,GNAI1;CTNNB1;ADAM17;CUL1;RBPJ;NCOR2,-0.6631772372978517
XENOBIOTIC_METABOLISM,0.007639541571199231,0.03169927993105745,0.40701791892395395,-0.3971729972137518,-1.5740333739057444,81,AKR1C2;CAT;IDH1;SSR3;ACOX1;PTGES;BCAT1;NQO1;JUP;ALDH2;DHRS1;NDRG2;UPP1;PTGES3;HPRT1;KYNU;NPC1;PAPSS2;ETFDH;FAH;GSTM4;GCLC;ALDH9A1;SLC1A5;ACOX3;PTGR1;PGD;SMOX;UGDH;ACP1;PYCR1;CNDP2;LPIN2;SHMT2;MTHFD1;LONP1;DDAH2;PDLIM5;CYP27A1,-1.4989506029406128
